Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,2.0,Silhouette,0.3430301022879895,2
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,2.0,SSE-Elbow,2283654.598912714,2
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,2.0,DB,1.351904187584549,2
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,2.0,BIC,2283885.6376625453,2
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,3.0,VRC,20495.173883077456,3
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,3.0,Silhouette,0.23527882873964975,3
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,3.0,SSE-Elbow,1987573.7893076795,3
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,3.0,DB,1.5837272095707329,3
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,3.0,BIC,1987923.253974568,3
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,4.0,VRC,16574.155846885795,4
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,4.0,Silhouette,0.1643649305958262,4
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,4.0,SSE-Elbow,1836065.089634576,4
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,4.0,DB,1.775919855750332,4
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,4.0,BIC,1836536.107946012,4
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,5.0,VRC,17595.78020947769,5
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,5.0,Silhouette,0.2868649787960297,5
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,5.0,SSE-Elbow,1555514.4203544916,5
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,5.0,DB,1.1954552099922795,5
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,5.0,BIC,1556110.9753226642,5
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,6.0,VRC,16557.262772054346,6
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,6.0,Silhouette,0.21857602555311095,6
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,6.0,SSE-Elbow,1424809.050545033,6
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,6.0,DB,1.354209029788383,6
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,6.0,BIC,1425527.5950788264,6
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,7.0,VRC,15025.95479038792,7
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,7.0,Silhouette,0.19541080196069527,7
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,7.0,SSE-Elbow,1357051.7046256035,7
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,7.0,DB,1.461086272783093,7
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,7.0,BIC,1357891.7658397078,7
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,8.0,VRC,14112.717642933248,8
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,8.0,Silhouette,0.19320694118723303,8
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,8.0,SSE-Elbow,1285438.6852955543,8
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,8.0,DB,1.4671828231289985,8
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,8.0,BIC,1286399.655111815,8
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,9.0,VRC,13449.330221936783,9
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,9.0,Silhouette,0.19207424747077056,9
